deque: 18ms
deque: 10ms
deque: 9ms
deque: 6ms
deque: 6ms
deque: 6ms
deque: 7ms
deque: 4ms
deque: 8ms
deque: 4ms
post stream: 168ms
post stream: 85ms
post stream: 76ms
post stream: 72ms
post stream: 100ms
post stream: 67ms
post stream: 73ms
post stream: 76ms
post stream: 123ms
post stream: 65ms
post stream: 68ms
pre stream: 90ms
pre stream: 146ms
pre stream: 77ms
pre stream: 88ms
pre stream: 87ms
pre stream: 137ms
pre stream: 86ms
pre stream: 83ms
pre stream: 90ms
pre stream: 121ms
pre stream: 81ms
